id,name,description_sale
scenario.product_142164,"Indoor 180 C Minuterie KAL/S","Rilevatore di movimento per minuterie, 2 fili, design Kallysto, nero"
scenario.product_142173,"PD2 S 180 C 12-48V KAL/HG","Rilevatore di presenza 12V-24V-48V, design Kallysto, grigio chiaro"
scenario.product_142166,"PD2 S 180 C KNX KAL/S","Rilevatore di presenza KNX, design Kallysto, nero"
scenario.product_142175,"PD2 S 180 C Master 1C KAL/HG","Rilevatore di presenza 1 canale, design Kallysto, grigio chiaro"
scenario.product_142574,"Logo-Sticker F: Dysbox SA","Etichetta per depliant e cataloghi tascabili"
scenario.product_142468,"AC-PD9 SPEZ","Maschere ad innesto PD9 speciale"
scenario.product_142170,"Indoor 180 C Kombi 2L KAL/HG","Rilevatore di movimento 10A, 2L schema 0, design Kallysto, grigio chiaro"
scenario.product_142172,"Indoor 180 C Minuterie KAL/HG","Rilevatore di movimento per minuterie, 2 fili, design Kallysto, grigio chiaro"
scenario.product_141600,"PD2 180 UP Master 1C BEG/W","Rilevatore di presenza 1 canale, bianco"
scenario.product_142335,"Swisslux trasparenti di progettazione a scala 1:200","Rilevatori di movimento e di presenza BEG Luxomat"
scenario.product_142360,"PD2 S NMU KORRIDOR","Rilevatore di presenza 1 canale, senza coperchio colorato"
scenario.product_142361,"PD2 S MAX DE KORRIDOR/W","Rilevatore di presenza 1 canale, bianco"
scenario.product_142363,"PD2 S 360 AP KNX/W","Rilevatore di presenza KNX, bianco"
scenario.product_142364,"PD2 S MAX AP KNX/W","Rilevatore di presenza KNX, bianco"
scenario.product_142368,"AS IS EDI/S","Set adattatori, design EDIZIOdue, nero"
scenario.product_142369,"AS IS EDI/DG","Set adattatori, design EDIZIOdue, grigio scuro"
scenario.product_142370,"AS IS EDI/HG","Set adattatori, design EDIZIOdue, grigio chiaro"
scenario.product_142093,"PD9 S 360 Dimm/W","Rilevatore di presenza Dimm 1-10V, bianco"
scenario.product_142372,"AS IS EDI/BE","Set adattatori, design EDIZIOdue, beige"
scenario.product_142373,"AS IS KAL/W","Set adattatori, design Kallysto, bianco"
scenario.product_142374,"AS IS SID/WM","Set adattatori, design Sidus, bianco-opaco"
scenario.product_142375,"AS IS SID/AL","Set adattatori, design Sidus, alluminio"
scenario.product_142376,"AS IS STA/W","Set adattatori, design Standard, bianco"
scenario.product_142377,"AS IS STA/S","Set adattatori, design Standard, nero"
scenario.product_142378,"IS N","Interruttore della luce intelligente"
scenario.product_142408,"IS C Dimm EDI/BE","Interruttore della luce intelligente, Dimm , EDIZIOdue, beige"
scenario.product_142630,"IL1-R35-3","Lampada LED"
scenario.product_142410,"IS C Dimm SID/WM","Interruttore della luce intelligente, Dimm , Sidus, bianco-opaco"
scenario.product_142427,"IS AP EDI/W","Interruttore della luce intelligente, EDIZIOdue, bianco"
scenario.product_142528,"IL1-R35PA","Lampada LED con rilevatore di presenza VA"
scenario.product_141707,"PD2 S 360 UP Master 2C/W","Rilevatore di presenza 2 canali, bianco"
scenario.product_142546,"AC-Pico","Maschere ad innesto Pico"
scenario.product_151113,"PD2 S 180 UP Master 2C EDI/HG","Rilevatore di presenza 2 canali, design EDIZIOdue, grigio chiaro"
scenario.product_151145,"PD2 S 180 UP Master 2C EDI/BE","Rilevatore di presenza 2 canali, design EDIZIOdue, beige"
scenario.product_151209,"PD2 S 180 UP Master 2C KAL/DG","Rilevatore di presenza 2 canali, design Kallysto, grigio scuro"
scenario.product_151242,"PD2 S 180 UP Master 2C SID/WG","Rilevatore di presenza 2 canali, design Sidus, bianco-lucido"
scenario.product_151258,"PD2 S 180 UP Master 2C SID/AN","Rilevatore di presenza 2 canali, design Sidus, antracite"
