id,product_tmpl_id:id,product_uom:id,product_qty,active,routing_id/id,bom_line_ids/product_id/id,bom_line_ids/product_uom/id,bom_line_ids/product_qty
scenario.bom_151175,scenario.product_151175_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141754,product.product_uom_unit,1
scenario.bom_151175,scenario.product_151175_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141726,product.product_uom_unit,1
scenario.bom_151175,scenario.product_151175_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141730,product.product_uom_unit,1
scenario.bom_151176,scenario.product_151176_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141754,product.product_uom_unit,1
scenario.bom_151176,scenario.product_151176_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_142238,product.product_uom_unit,1
scenario.bom_151176,scenario.product_151176_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141730,product.product_uom_unit,1
scenario.bom_151176,scenario.product_151176_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141721,product.product_uom_unit,1
scenario.bom_151177,scenario.product_151177_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_142238,product.product_uom_unit,1
scenario.bom_151177,scenario.product_151177_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141754,product.product_uom_unit,1
scenario.bom_151177,scenario.product_151177_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141722,product.product_uom_unit,1
scenario.bom_151177,scenario.product_151177_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141730,product.product_uom_unit,1
scenario.bom_151178,scenario.product_151178_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141754,product.product_uom_unit,1
scenario.bom_151178,scenario.product_151178_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_142238,product.product_uom_unit,1
scenario.bom_151178,scenario.product_151178_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141730,product.product_uom_unit,1
scenario.bom_151178,scenario.product_151178_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141723,product.product_uom_unit,1
scenario.bom_151179,scenario.product_151179_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_142238,product.product_uom_unit,1
scenario.bom_151179,scenario.product_151179_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141754,product.product_uom_unit,1
scenario.bom_151179,scenario.product_151179_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141724,product.product_uom_unit,1
scenario.bom_151179,scenario.product_151179_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141730,product.product_uom_unit,1
scenario.bom_151180,scenario.product_151180_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_142226,product.product_uom_unit,1
scenario.bom_151180,scenario.product_151180_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141749,product.product_uom_unit,1
scenario.bom_151180,scenario.product_151180_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141719,product.product_uom_unit,1
scenario.bom_151181,scenario.product_151181_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141749,product.product_uom_unit,1
scenario.bom_151181,scenario.product_151181_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_142226,product.product_uom_unit,1
scenario.bom_151181,scenario.product_151181_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141720,product.product_uom_unit,1
scenario.bom_151182,scenario.product_151182_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_142226,product.product_uom_unit,1
scenario.bom_151182,scenario.product_151182_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141749,product.product_uom_unit,1
scenario.bom_151182,scenario.product_151182_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141726,product.product_uom_unit,1
scenario.bom_151183,scenario.product_151183_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141749,product.product_uom_unit,1
scenario.bom_151183,scenario.product_151183_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_142226,product.product_uom_unit,1
scenario.bom_151183,scenario.product_151183_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141721,product.product_uom_unit,1
scenario.bom_151184,scenario.product_151184_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_142226,product.product_uom_unit,1
scenario.bom_151184,scenario.product_151184_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141749,product.product_uom_unit,1
scenario.bom_151184,scenario.product_151184_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141722,product.product_uom_unit,1
scenario.bom_151185,scenario.product_151185_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141749,product.product_uom_unit,1
scenario.bom_151185,scenario.product_151185_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_142226,product.product_uom_unit,1
scenario.bom_151185,scenario.product_151185_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141723,product.product_uom_unit,1
scenario.bom_151186,scenario.product_151186_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_142226,product.product_uom_unit,1
scenario.bom_151186,scenario.product_151186_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141724,product.product_uom_unit,1
scenario.bom_151186,scenario.product_151186_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141749,product.product_uom_unit,1
scenario.bom_151187,scenario.product_151187_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141749,product.product_uom_unit,1
scenario.bom_151187,scenario.product_151187_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141725,product.product_uom_unit,1
scenario.bom_151187,scenario.product_151187_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_142226,product.product_uom_unit,1
scenario.bom_151188,scenario.product_151188_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_142235,product.product_uom_unit,1
scenario.bom_151188,scenario.product_151188_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141749,product.product_uom_unit,1
scenario.bom_151188,scenario.product_151188_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141719,product.product_uom_unit,1
scenario.bom_151188,scenario.product_151188_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141730,product.product_uom_unit,1
scenario.bom_151189,scenario.product_151189_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141749,product.product_uom_unit,1
scenario.bom_151189,scenario.product_151189_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_142235,product.product_uom_unit,1
scenario.bom_151189,scenario.product_151189_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141725,product.product_uom_unit,1
scenario.bom_151189,scenario.product_151189_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141730,product.product_uom_unit,1
scenario.bom_151190,scenario.product_151190_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_142235,product.product_uom_unit,1
scenario.bom_151190,scenario.product_151190_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141749,product.product_uom_unit,1
scenario.bom_151190,scenario.product_151190_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141720,product.product_uom_unit,1
scenario.bom_151190,scenario.product_151190_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141730,product.product_uom_unit,1
scenario.bom_151191,scenario.product_151191_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141749,product.product_uom_unit,1
scenario.bom_151191,scenario.product_151191_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_142235,product.product_uom_unit,1
scenario.bom_151191,scenario.product_151191_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141730,product.product_uom_unit,1
scenario.bom_151191,scenario.product_151191_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141726,product.product_uom_unit,1
scenario.bom_151192,scenario.product_151192_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_142235,product.product_uom_unit,1
scenario.bom_151192,scenario.product_151192_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141749,product.product_uom_unit,1
scenario.bom_151192,scenario.product_151192_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141721,product.product_uom_unit,1
scenario.bom_151192,scenario.product_151192_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141730,product.product_uom_unit,1
scenario.bom_151193,scenario.product_151193_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141749,product.product_uom_unit,1
scenario.bom_151193,scenario.product_151193_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141722,product.product_uom_unit,1
scenario.bom_151193,scenario.product_151193_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_142235,product.product_uom_unit,1
scenario.bom_151193,scenario.product_151193_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141730,product.product_uom_unit,1
scenario.bom_151194,scenario.product_151194_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_142235,product.product_uom_unit,1
scenario.bom_151194,scenario.product_151194_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141749,product.product_uom_unit,1
scenario.bom_151194,scenario.product_151194_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141730,product.product_uom_unit,1
scenario.bom_151194,scenario.product_151194_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141723,product.product_uom_unit,1
scenario.bom_151195,scenario.product_151195_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141749,product.product_uom_unit,1
scenario.bom_151195,scenario.product_151195_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_142235,product.product_uom_unit,1
scenario.bom_151195,scenario.product_151195_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141724,product.product_uom_unit,1
scenario.bom_151195,scenario.product_151195_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141730,product.product_uom_unit,1
